Fluxo;Ano;mes_numero;mes_nome;Município;País;Código SH4;Valor US$ FOB;Quilograma Líquido;Descrição SH4
Exportação;2022;9;Setembro;Santos - SP;China;1201;32382046;51559982;Soja, mesmo triturada
Exportação;2022;8;Agosto;Cubatão - SP;China;1201;15803647;26628506;Soja, mesmo triturada
Exportação;2022;8;Agosto;Guarujá - SP;China;1201;30596539;47013398;Soja, mesmo triturada
Exportação;2022;8;Agosto;Santos - SP;China;1201;28092014;44292203;Soja, mesmo triturada
Exportação;2022;7;Julho;Cubatão - SP;China;1201;30610226;50772518;Soja, mesmo triturada
Exportação;2022;7;Julho;Guarujá - SP;China;1201;127417247;191715550;Soja, mesmo triturada
Exportação;2022;7;Julho;Santos - SP;China;1201;67852427;112646932;Soja, mesmo triturada
Exportação;2022;6;Junho;Cubatão - SP;China;1201;43845693;70981820;Soja, mesmo triturada
Exportação;2022;6;Junho;Guarujá - SP;China;1201;78221831;114562901;Soja, mesmo triturada
Exportação;2022;6;Junho;Santos - SP;China;1201;207514707;335667862;Soja, mesmo triturada
Exportação;2022;5;Maio;Cubatão - SP;China;1201;63363717;104257166;Soja, mesmo triturada
Exportação;2022;5;Maio;Guarujá - SP;China;1201;121221835;179284968;Soja, mesmo triturada
Exportação;2022;5;Maio;Santos - SP;China;1201;282156326;447994405;Soja, mesmo triturada
Exportação;2022;4;Abril;Cubatão - SP;China;1201;64183647;100878722;Soja, mesmo triturada
Exportação;2022;4;Abril;Guarujá - SP;China;1201;143677818;235384999;Soja, mesmo triturada
Exportação;2022;4;Abril;Santos - SP;China;1201;259765964;444517530;Soja, mesmo triturada
Exportação;2022;3;Março;Cubatão - SP;China;1201;58741538;97969463;Soja, mesmo triturada
Exportação;2022;3;Março;Guarujá - SP;China;1201;138251337;243095051;Soja, mesmo triturada
Exportação;2022;3;Março;Santos - SP;China;1201;242046342;464142722;Soja, mesmo triturada
Exportação;2022;2;Fevereiro;Cubatão - SP;China;1201;23168083;43848629;Soja, mesmo triturada
Exportação;2022;2;Fevereiro;Guarujá - SP;China;1201;30315167;59273685;Soja, mesmo triturada
Exportação;2022;2;Fevereiro;Santos - SP;China;1201;51426985;101468701;Soja, mesmo triturada
Exportação;2022;1;Janeiro;Cubatão - SP;China;1201;9991171;18685322;Soja, mesmo triturada
Exportação;2022;1;Janeiro;Guarujá - SP;China;1201;17613027;34226287;Soja, mesmo triturada
Exportação;2022;1;Janeiro;Santos - SP;China;1201;23692692;46121598;Soja, mesmo triturada
Importação;2022;12;Dezembro;Cubatão - SP;Chile;2501;1127292;48071297;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2022;12;Dezembro;Guarujá - SP;Estados Unidos;2815;3210470;8532524;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2022;12;Dezembro;Santos - SP;Argentina;1001;6773118;19800000;Trigo e mistura de trigo com centeio
Importação;2022;11;Novembro;Cubatão - SP;Chile;2501;1137325;48500000;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2022;11;Novembro;Guarujá - SP;Estados Unidos;2815;1964755;5221957;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2022;11;Novembro;Santos - SP;Argentina;1001;5899875;12500000;Trigo e mistura de trigo com centeio
Importação;2022;10;Outubro;Cubatão - SP;Chile;2501;1134667;48369178;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2022;10;Outubro;Guarujá - SP;Estados Unidos;2815;747471;1990949;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2022;10;Outubro;Santos - SP;Argentina;1001;18327900;38350000;Trigo e mistura de trigo com centeio
Importação;2022;9;Setembro;Cubatão - SP;Chile;2501;1139395;48369082;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
