Fluxo;Ano;mes_numero;mes_nome;Município;Valor US$ FOB;Quilograma Líquido
Exportação;2021;6;Junho;Guarujá - SP;89165799;124349377
Exportação;2021;6;Junho;Santos - SP;382278165;797077746
Exportação;2021;7;Julho;Cubatão - SP;25835510;32539953
Exportação;2021;7;Julho;Guarujá - SP;36995063;56254301
Exportação;2021;7;Julho;Santos - SP;259098689;535271734
Exportação;2021;8;Agosto;Cubatão - SP;29739359;38062387
Exportação;2021;8;Agosto;Guarujá - SP;41938026;53563237
Exportação;2021;8;Agosto;Santos - SP;155562912;320095896
Exportação;2021;9;Setembro;Cubatão - SP;72330429;114190122
Exportação;2021;9;Setembro;Guarujá - SP;78416301;113475443
Exportação;2021;9;Setembro;Santos - SP;240338093;469491141
Exportação;2021;10;Outubro;Cubatão - SP;66813522;74886399
Exportação;2021;10;Outubro;Guarujá - SP;54328542;51845600
Exportação;2021;10;Outubro;Santos - SP;246780020;403592436
Exportação;2021;11;Novembro;Cubatão - SP;99280824;98425194
Exportação;2021;11;Novembro;Guarujá - SP;48632809;62468660
Exportação;2021;11;Novembro;Santos - SP;257024646;422406211
Exportação;2021;12;Dezembro;Cubatão - SP;125112774;145175144
Exportação;2021;12;Dezembro;Guarujá - SP;72236261;81189217
Exportação;2021;12;Dezembro;Santos - SP;248943962;389420541
Exportação;2022;1;Janeiro;Cubatão - SP;102915557;123637600
Exportação;2022;1;Janeiro;Guarujá - SP;61220469;58790951
Exportação;2022;1;Janeiro;Santos - SP;170721809;272265956
Exportação;2022;2;Fevereiro;Cubatão - SP;106421774;151704619
Exportação;2022;2;Fevereiro;Guarujá - SP;57256959;72898826
Exportação;2022;2;Fevereiro;Santos - SP;235358891;325199645
Exportação;2022;3;Março;Cubatão - SP;156514362;203989857
Exportação;2022;3;Março;Guarujá - SP;200814246;288355794
Exportação;2022;3;Março;Santos - SP;578474389;890407704
Exportação;2022;4;Abril;Cubatão - SP;153685763;209438374
Exportação;2022;4;Abril;Guarujá - SP;185119118;255941675
Exportação;2022;4;Abril;Santos - SP;663337808;982962224
Exportação;2022;5;Maio;Cubatão - SP;124153247;146132568
Exportação;2022;5;Maio;Guarujá - SP;158510612;210314376
Exportação;2022;5;Maio;Santos - SP;568497742;824577627
Exportação;2022;6;Junho;Cubatão - SP;151087781;159884026
Exportação;2022;6;Junho;Guarujá - SP;99816345;131492378
Exportação;2022;6;Junho;Santos - SP;507026276;667057086
Exportação;2022;7;Julho;Cubatão - SP;114130774;130818142
Exportação;2022;7;Julho;Guarujá - SP;138671154;198952530
Exportação;2022;7;Julho;Santos - SP;384950860;485823975
Exportação;2022;8;Agosto;Cubatão - SP;92015899;118162343
Exportação;2022;8;Agosto;Guarujá - SP;48896529;56924050
Exportação;2022;8;Agosto;Santos - SP;306023775;510411810
Exportação;2022;9;Setembro;Cubatão - SP;156256200;173986306
Exportação;2022;9;Setembro;Guarujá - SP;24042398;21185946
Exportação;2022;9;Setembro;Santos - SP;326870166;505187951
Exportação;2022;10;Outubro;Cubatão - SP;107068633;110220153
Exportação;2022;10;Outubro;Guarujá - SP;19962549;14990525
Exportação;2022;10;Outubro;Santos - SP;331078312;500003350
Exportação;2022;11;Novembro;Cubatão - SP;125237634;111736728
Exportação;2022;11;Novembro;Guarujá - SP;15383113;7441019
Exportação;2022;11;Novembro;Santos - SP;316746418;517577606
Exportação;2022;12;Dezembro;Cubatão - SP;101951125;124796313
Exportação;2022;12;Dezembro;Guarujá - SP;14219385;8794491
Exportação;2022;12;Dezembro;Santos - SP;308817799;556253664
Exportação;2023;1;Janeiro;Cubatão - SP;124916253;163035283
Exportação;2023;1;Janeiro;Guarujá - SP;16783404;7861205
Exportação;2023;1;Janeiro;Santos - SP;177684703;311744184
Exportação;2023;2;Fevereiro;Cubatão - SP;137430657;159343867
Exportação;2023;2;Fevereiro;Guarujá - SP;72127622;113884089
Exportação;2023;2;Fevereiro;Santos - SP;213106892;355220088
Exportação;2023;3;Março;Cubatão - SP;135011085;163973989
Exportação;2023;3;Março;Guarujá - SP;275533830;466662209
Exportação;2023;3;Março;Santos - SP;582619384;1003580310
Exportação;2023;4;Abril;Cubatão - SP;153161663;220843830
Exportação;2023;4;Abril;Guarujá - SP;181939738;321668163
Exportação;2023;4;Abril;Santos - SP;544031580;955577068
Exportação;2023;5;Maio;Cubatão - SP;160388540;242921553
Exportação;2023;5;Maio;Guarujá - SP;70776686;140272597
Exportação;2023;5;Maio;Santos - SP;632638746;1221974268
Exportação;2023;6;Junho;Cubatão - SP;98886957;137357827
Exportação;2023;6;Junho;Guarujá - SP;73343564;155472692
Exportação;2023;6;Junho;Santos - SP;548663021;1053708915
Exportação;2023;7;Julho;Cubatão - SP;143776672;217839696
Exportação;2023;7;Julho;Guarujá - SP;61172577;117905348
Exportação;2023;7;Julho;Santos - SP;498945769;928051544
Exportação;2023;8;Agosto;Cubatão - SP;108923533;186588544
Exportação;2023;8;Agosto;Guarujá - SP;77443745;143525103
Exportação;2023;8;Agosto;Santos - SP;572504695;1199661402
Exportação;2023;9;Setembro;Cubatão - SP;123737231;216475721
Exportação;2023;9;Setembro;Guarujá - SP;49458085;161215362
Exportação;2023;9;Setembro;Santos - SP;471187250;1030805258
Exportação;2023;10;Outubro;Cubatão - SP;112676104;176363185
Exportação;2023;10;Outubro;Guarujá - SP;22173052;59009185
Exportação;2023;10;Outubro;Santos - SP;749163712;1248734746
Exportação;2023;11;Novembro;Cubatão - SP;134352728;282405772
Exportação;2023;11;Novembro;Guarujá - SP;48463994;92188897
Exportação;2023;11;Novembro;Santos - SP;573241798;1015525388
Exportação;2023;12;Dezembro;Cubatão - SP;123721924;189702513
Exportação;2023;12;Dezembro;Guarujá - SP;96859475;154686153
Exportação;2023;12;Dezembro;Santos - SP;615443616;988542025
Exportação;2024;1;Janeiro;Cubatão - SP;95729088;116102123
Exportação;2024;1;Janeiro;Guarujá - SP;33933861;20363178
Exportação;2024;1;Janeiro;Santos - SP;677452932;1230395174
Exportação;2024;2;Fevereiro;Cubatão - SP;106422268;155142374
Exportação;2024;2;Fevereiro;Guarujá - SP;125331609;242471728
Exportação;2024;2;Fevereiro;Santos - SP;576672031;1055887037
Exportação;2024;3;Março;Cubatão - SP;160256982;270282784
Exportação;2024;3;Março;Guarujá - SP;146369259;292030661
Exportação;2024;3;Março;Santos - SP;794041288;1530222979
Exportação;2024;4;Abril;Cubatão - SP;132671067;187275875
Exportação;2024;4;Abril;Guarujá - SP;125904425;226337963
Exportação;2024;4;Abril;Santos - SP;689575635;1271994276
